id;list;name;desc;members;url
5e68bab0f4c81435ff47c76f;Review;Grammar issue on pop up when you want to exit app during issue;;['Brett de Villiers'];https://trello.com/c/aK3wXu8L/187-grammar-issue-on-pop-up-when-you-want-to-exit-app-during-issue
5e38142952a3d515d672ad8b;Review;For person type minor - check that the age and birth date is under 18;;['Brett de Villiers'];https://trello.com/c/skuzkYmU/55-for-person-type-minor-check-that-the-age-and-birth-date-is-under-18
5e677892d4f929347e86535c;Review;Look at court dates selected on location tab;;['Byron de Villiers'];https://trello.com/c/9pePq5se/175-look-at-court-dates-selected-on-location-tab
5e37f83eb232f2877d3e82ec;Review;Look at updating location tab to filter dates from master data provider;Order court dates list, do the dates match the courts?;['Nonnie', 'visu 1225', 'Byron de Villiers'];https://trello.com/c/ozhgZ55J/23-look-at-updating-location-tab-to-filter-dates-from-master-data-provider
5e68b891d0e93c8bf0abd677;Review;Court Room number in print different from what’s on device;;['Byron de Villiers'];https://trello.com/c/V0EcamLc/181-court-room-number-in-print-different-from-whats-on-device
5e6257c6bb9c131ee836c1db;Review;Not all master data is loaded when app is started in offline mode;;['Brett de Villiers'];https://trello.com/c/XHjEWdkx/172-not-all-master-data-is-loaded-when-app-is-started-in-offline-mode
5e551fd736ca9649271bcd9c;Review;normal S56 print: PrPD_TYPE_TEXT variable displaying instead of N/A, also default South Africa as country on print for Business address.;PrDP type issue occurs with scenario where scanning is done for person.;['Byron de Villiers'];https://trello.com/c/JbNDKu9x/147-normal-s56-print-prpdtypetext-variable-displaying-instead-of-n-a-also-default-south-africa-as-country-on-print-for-business-addr
5e68ba8d1e534a7fba6aaa63;Review;Issue notice from charge catalogue - selected charge not automatically pulled through to charge tab of notice, manual selection and capture still required.;;['Byron de Villiers'];https://trello.com/c/WmQNVQWD/186-issue-notice-from-charge-catalogue-selected-charge-not-automatically-pulled-through-to-charge-tab-of-notice-manual-selection-and
5e4f530ea1226d6f6bf8e159;Review;Multiple prints (looks like when starting from a draft) cause SQL insert error;"{message: ""sqlite3_step failure: UNIQUE constraint failed: NOTICE_DRAFT.NOTICE_NUMBER, NOTICE_DRAFT.VERSION"", code: 6}
code
:
6
message
:
""sqlite3_step failure: UNIQUE constraint failed: NOTICE_DRAFT.NOTICE_NUMBER, NOTICE_DRAFT.VERSION""";['Riaz Patel', 'Brett de Villiers'];https://trello.com/c/Guswr1Ih/128-multiple-prints-looks-like-when-starting-from-a-draft-cause-sql-insert-error
5e55259b8acb5f89ba9dae9f;Review;unable to sign and reason not captured on case, although supplied on mobile frontend.;;['Brett de Villiers'];https://trello.com/c/O0NMlMEc/150-unable-to-sign-and-reason-not-captured-on-case-although-supplied-on-mobile-frontend
